split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986652            1.000000
   id         0.00         1        raw_previous     12    1.000000    41.500000           42.0                   1.729167                 0.418899              NaN                 NaN
   id         0.00         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986680            1.000000
   id         0.00         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986012            1.000000
   id         0.00         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986862            1.000000
   id         0.00         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986652            1.000000
   id         0.00         2        raw_previous     12    1.000000    21.000000           21.0                   1.750000                 0.426040              NaN                 NaN
   id         0.00         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986680            1.000000
   id         0.00         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986012            1.000000
   id         0.00         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986862            1.000000
   id         0.00         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986652            1.000000
   id         0.00         4        raw_previous     12    1.000000    10.750000           11.0                   1.791667                 0.439141              NaN                 NaN
   id         0.00         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986680            1.000000
   id         0.00         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986012            1.000000
   id         0.00         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986862            1.000000
   id         0.00         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986652            1.000000
   id         0.00         8        raw_previous     12    1.000000     5.750000            6.0                   1.916667                 0.475000              NaN                 NaN
   id         0.00         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986680            1.000000
   id         0.00         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986012            1.000000
   id         0.00         8          static_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986862            1.000000
   id         0.00        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986652            1.000000
   id         0.00        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.00        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986680            1.000000
   id         0.00        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986012            1.000000
   id         0.00        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986862            1.000000
   id         0.10         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987745            1.000000
   id         0.10         1        raw_previous     12    1.000000    39.750000           40.0                   1.656250                 0.386242              NaN                 NaN
   id         0.10         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.989583            1.000000
   id         0.10         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988375            1.000000
   id         0.10         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987662            1.000000
   id         0.10         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987745            1.000000
   id         0.10         2        raw_previous     12    1.000000    20.083333           20.5                   1.673611                 0.392950              NaN                 NaN
   id         0.10         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.989583            1.000000
   id         0.10         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988375            1.000000
   id         0.10         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987662            1.000000
   id         0.10         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987745            1.000000
   id         0.10         4        raw_previous     12    1.000000    10.166667           10.5                   1.694444                 0.398737              NaN                 NaN
   id         0.10         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.989583            1.000000
   id         0.10         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988375            1.000000
   id         0.10         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987662            1.000000
   id         0.10         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987745            1.000000
   id         0.10         8        raw_previous     12    1.000000     5.333333            5.5                   1.777778                 0.425000              NaN                 NaN
   id         0.10         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.989583            1.000000
   id         0.10         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.988375            1.000000
