split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.10        16 relational_pair_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.989152            1.000000
   id         0.10        16 relational_task_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.989554            1.000000
   id         0.10        16          static_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987097            1.000000
   id         0.20         1     oracle_previous      6    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         1     pooled_goal_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987287            1.000000
   id         0.20         1        raw_previous      6    1.000000    41.666667           42.0                   1.736111                 0.421074              NaN                 NaN
   id         0.20         1 relational_pair_map      6    1.000000    35.166667           24.0                   1.465278                 0.122711         0.923582            0.957176
   id         0.20         1 relational_task_map      6    1.000000    35.166667           24.0                   1.465278                 0.122711         0.949960            0.979167
   id         0.20         1          static_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987581            1.000000
   id         0.20         2     oracle_previous      6    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         2     pooled_goal_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987287            1.000000
   id         0.20         2        raw_previous      6    1.000000    21.166667           21.0                   1.763889                 0.430348              NaN                 NaN
   id         0.20         2 relational_pair_map      6    1.000000    17.666667           12.0                   1.472222                 0.123188         0.923582            0.957176
   id         0.20         2 relational_task_map      6    1.000000    17.666667           12.0                   1.472222                 0.123188         0.949960            0.979167
   id         0.20         2          static_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987581            1.000000
   id         0.20         4     oracle_previous      6    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         4     pooled_goal_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987287            1.000000
   id         0.20         4        raw_previous      6    1.000000    11.000000           11.0                   1.833333                 0.451515              NaN                 NaN
   id         0.20         4 relational_pair_map      6    1.000000     8.833333            6.0                   1.472222                 0.123188         0.923582            0.957176
   id         0.20         4 relational_task_map      6    1.000000     8.833333            6.0                   1.472222                 0.123188         0.949960            0.979167
   id         0.20         4          static_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987581            1.000000
   id         0.20         8     oracle_previous      6    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         8     pooled_goal_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987287            1.000000
   id         0.20         8        raw_previous      6    1.000000     5.666667            6.0                   1.888889                 0.466667              NaN                 NaN
   id         0.20         8 relational_pair_map      6    1.000000     4.500000            3.0                   1.500000                 0.125000         0.923582            0.957176
   id         0.20         8 relational_task_map      6    1.000000     4.500000            3.0                   1.500000                 0.125000         0.949960            0.979167
   id         0.20         8          static_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987581            1.000000
   id         0.20        16     oracle_previous      6    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20        16     pooled_goal_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987287            1.000000
   id         0.20        16        raw_previous      6    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.20        16 relational_pair_map      6    1.000000     2.833333            2.0                   1.416667                 0.128205         0.923582            0.957176
   id         0.20        16 relational_task_map      6    1.000000     2.833333            2.0                   1.416667                 0.128205         0.949960            0.979167
   id         0.20        16          static_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987581            1.000000
   id         0.35         1     oracle_previous      6    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         1     pooled_goal_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.984327            0.998843
   id         0.35         1        raw_previous      6    1.000000    48.166667           50.0                   2.006944                 0.487959              NaN                 NaN
   id         0.35         1 relational_pair_map      6    1.000000   153.333333          153.0                   6.388889                 0.834988         0.504004            0.483796
   id         0.35         1 relational_task_map      6    1.000000   147.666667          141.0                   6.152778                 0.825420         0.540993            0.517361
   id         0.35         1          static_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.985531            1.000000
   id         0.35         2     oracle_previous      6    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         2     pooled_goal_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.984327            0.998843
   id         0.35         2        raw_previous      6    1.000000    24.333333           25.0                   2.027778                 0.493312              NaN                 NaN
   id         0.35         2 relational_pair_map      6    1.000000    76.833333           76.5                   6.402778                 0.835433         0.504004            0.483796
   id         0.35         2 relational_task_map      6    1.000000    74.166667           71.0                   6.180556                 0.826556         0.540993            0.517361
   id         0.35         2          static_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.985531            1.000000
   id         0.35         4     oracle_previous      6    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
