split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous      6    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986685            1.000000
   id         0.00         1        raw_previous      6    1.000000    32.666667           32.5                   1.361111                 0.264929              NaN                 NaN
   id         0.00         1 relational_pair_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987892            1.000000
   id         0.00         1 relational_task_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986085            1.000000
   id         0.00         1          static_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987123            1.000000
   id         0.00         2     oracle_previous      6    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986685            1.000000
   id         0.00         2        raw_previous      6    1.000000    16.500000           16.5                   1.375000                 0.272059              NaN                 NaN
   id         0.00         2 relational_pair_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987892            1.000000
   id         0.00         2 relational_task_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986085            1.000000
   id         0.00         2          static_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987123            1.000000
   id         0.00         4     oracle_previous      6    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986685            1.000000
   id         0.00         4        raw_previous      6    1.000000     8.500000            8.5                   1.416667                 0.291667              NaN                 NaN
   id         0.00         4 relational_pair_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987892            1.000000
   id         0.00         4 relational_task_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986085            1.000000
   id         0.00         4          static_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987123            1.000000
   id         0.00         8     oracle_previous      6    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986685            1.000000
   id         0.00         8        raw_previous      6    1.000000     4.500000            4.5                   1.500000                 0.325000              NaN                 NaN
   id         0.00         8 relational_pair_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987892            1.000000
   id         0.00         8 relational_task_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986085            1.000000
   id         0.00         8          static_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987123            1.000000
   id         0.00        16     oracle_previous      6    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986685            1.000000
   id         0.00        16        raw_previous      6    1.000000     2.500000            2.5                   1.250000                 0.325000              NaN                 NaN
   id         0.00        16 relational_pair_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987892            1.000000
   id         0.00        16 relational_task_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986085            1.000000
