split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.10        16          static_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.20         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         1     pooled_goal_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         1        raw_previous      6         1.0    24.166667           24.0                   1.006944                 0.006667              NaN                 NaN
   id         0.20         1 relational_pair_map      6         1.0    64.166667           55.0                   2.673611                 0.382991         0.947580            0.979167
   id         0.20         1 relational_task_map      6         1.0    38.833333           24.0                   1.618056                 0.131268         0.975348            0.994213
   id         0.20         1          static_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20         2     oracle_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         2     pooled_goal_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         2        raw_previous      6         1.0    12.166667           12.0                   1.013889                 0.012821              NaN                 NaN
   id         0.20         2 relational_pair_map      6         1.0    32.166667           27.5                   2.680556                 0.383291         0.947580            0.979167
   id         0.20         2 relational_task_map      6         1.0    19.500000           12.0                   1.625000                 0.131579         0.975348            0.994213
   id         0.20         2          static_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20         4     oracle_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         4     pooled_goal_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         4        raw_previous      6         1.0     6.166667            6.0                   1.027778                 0.023810              NaN                 NaN
   id         0.20         4 relational_pair_map      6         1.0    16.166667           14.0                   2.694444                 0.384348         0.947580            0.979167
   id         0.20         4 relational_task_map      6         1.0     9.833333            6.0                   1.638889                 0.132184         0.975348            0.994213
   id         0.20         4          static_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20         8     oracle_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         8     pooled_goal_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         8        raw_previous      6         1.0     3.166667            3.0                   1.055556                 0.041667              NaN                 NaN
   id         0.20         8 relational_pair_map      6         1.0     8.166667            7.0                   2.722222                 0.385498         0.947580            0.979167
   id         0.20         8 relational_task_map      6         1.0     5.000000            3.0                   1.666667                 0.133333         0.975348            0.994213
   id         0.20         8          static_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20        16     oracle_previous      6         1.0     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20        16     pooled_goal_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20        16        raw_previous      6         1.0     2.000000            2.0                   1.000000                 0.250000              NaN                 NaN
   id         0.20        16 relational_pair_map      6         1.0     4.666667            4.0                   2.333333                 0.387879         0.947580            0.979167
   id         0.20        16 relational_task_map      6         1.0     3.000000            2.0                   1.500000                 0.133333         0.975348            0.994213
   id         0.20        16          static_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.35         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         1     pooled_goal_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.985569            1.000000
   id         0.35         1        raw_previous      6         1.0    26.500000           25.5                   1.104167                 0.084429              NaN                 NaN
   id         0.35         1 relational_pair_map      6         1.0   110.500000          116.5                   4.604167                 0.774580         0.570083            0.554398
   id         0.35         1 relational_task_map      6         1.0   103.166667           98.5                   4.298611                 0.751540         0.628697            0.605324
   id         0.35         1          static_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.984745            1.000000
   id         0.35         2     oracle_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         2     pooled_goal_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.985569            1.000000
   id         0.35         2        raw_previous      6         1.0    13.500000           13.0                   1.125000                 0.100302              NaN                 NaN
   id         0.35         2 relational_pair_map      6         1.0    55.500000           58.5                   4.625000                 0.775625         0.570083            0.554398
   id         0.35         2 relational_task_map      6         1.0    51.833333           49.5                   4.319444                 0.752911         0.628697            0.605324
   id         0.35         2          static_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.984745            1.000000
   id         0.35         4     oracle_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         4     pooled_goal_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.985569            1.000000
   id         0.35         4        raw_previous      6         1.0     7.166667            7.0                   1.194444                 0.150794              NaN                 NaN
   id         0.35         4 relational_pair_map      6         1.0    28.000000           29.5                   4.666667                 0.778449         0.570083            0.554398
   id         0.35         4 relational_task_map      6         1.0    26.166667           25.0                   4.361111                 0.754495         0.628697            0.605324
   id         0.35         4          static_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.984745            1.000000
   id         0.35         8     oracle_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         8     pooled_goal_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.985569            1.000000
   id         0.35         8        raw_previous      6         1.0     4.000000            4.0                   1.333333                 0.233333              NaN                 NaN
   id         0.35         8 relational_pair_map      6         1.0    14.166667           15.0                   4.722222                 0.781762         0.570083            0.554398
   id         0.35         8 relational_task_map      6         1.0    13.166667           12.5                   4.388889                 0.757127         0.628697            0.605324
   id         0.35         8          static_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.984745            1.000000
   id         0.35        16     oracle_previous      6         1.0     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35        16     pooled_goal_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.985569            1.000000
   id         0.35        16        raw_previous      6         1.0     2.166667            2.0                   1.083333                 0.275000              NaN                 NaN
   id         0.35        16 relational_pair_map      6         1.0     7.666667            8.0                   3.833333                 0.783601         0.570083            0.554398
   id         0.35        16 relational_task_map      6         1.0     7.333333            7.0                   3.666667                 0.766339         0.628697            0.605324
   id         0.35        16          static_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.984745            1.000000
  ood         0.00         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00         1     pooled_goal_map      6         1.0   119.500000          124.5                   4.979167                 0.793474         0.083631            0.061343
  ood         0.00         1        raw_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000              NaN                 NaN
