split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987540            1.000000
   id         0.00         1        raw_previous     12    1.000000    43.583333           44.0                   1.815972                 0.446081              NaN                 NaN
   id         0.00         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.984875            1.000000
   id         0.00         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986920            1.000000
   id         0.00         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987118            1.000000
   id         0.00         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987540            1.000000
   id         0.00         2        raw_previous     12    1.000000    22.000000           22.0                   1.833333                 0.451239              NaN                 NaN
   id         0.00         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.984875            1.000000
   id         0.00         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986920            1.000000
   id         0.00         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987118            1.000000
   id         0.00         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987540            1.000000
   id         0.00         4        raw_previous     12    1.000000    11.166667           11.0                   1.861111                 0.458838              NaN                 NaN
   id         0.00         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.984875            1.000000
   id         0.00         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986920            1.000000
   id         0.00         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987118            1.000000
   id         0.00         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987540            1.000000
   id         0.00         8        raw_previous     12    1.000000     5.833333            6.0                   1.944444                 0.483333              NaN                 NaN
   id         0.00         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.984875            1.000000
   id         0.00         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986920            1.000000
   id         0.00         8          static_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987118            1.000000
   id         0.00        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987540            1.000000
   id         0.00        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.00        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.984875            1.000000
   id         0.00        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986920            1.000000
   id         0.00        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987118            1.000000
   id         0.10         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988097            1.000000
   id         0.10         1        raw_previous     12    1.000000    38.833333           40.5                   1.618056                 0.367289              NaN                 NaN
   id         0.10         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987959            1.000000
   id         0.10         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988525            1.000000
   id         0.10         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987682            1.000000
   id         0.10         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988097            1.000000
   id         0.10         2        raw_previous     12    1.000000    19.666667           20.5                   1.638889                 0.374295              NaN                 NaN
   id         0.10         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987959            1.000000
   id         0.10         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988525            1.000000
   id         0.10         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987682            1.000000
   id         0.10         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988097            1.000000
   id         0.10         4        raw_previous     12    1.000000    10.166667           10.5                   1.694444                 0.394782              NaN                 NaN
   id         0.10         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987959            1.000000
   id         0.10         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988525            1.000000
