split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.10        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.989521            1.000000
   id         0.10        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.988658            1.000000
   id         0.10        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987356            1.000000
   id         0.20         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988507            1.000000
   id         0.20         1        raw_previous     12    1.000000    40.250000           39.5                   1.677083                 0.393683              NaN                 NaN
   id         0.20         1 relational_pair_map     12    1.000000    34.833333           24.0                   1.451389                 0.120409         0.933156            0.973380
   id         0.20         1 relational_task_map     12    1.000000    28.083333           24.0                   1.170139                 0.055936         0.962185            0.987847
   id         0.20         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988222            1.000000
   id         0.20         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988507            1.000000
   id         0.20         2        raw_previous     12    1.000000    20.500000           20.0                   1.708333                 0.405195              NaN                 NaN
   id         0.20         2 relational_pair_map     12    1.000000    17.416667           12.0                   1.451389                 0.120409         0.933156            0.973380
   id         0.20         2 relational_task_map     12    1.000000    14.083333           12.0                   1.173611                 0.056306         0.962185            0.987847
   id         0.20         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988222            1.000000
   id         0.20         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988507            1.000000
   id         0.20         4        raw_previous     12    1.000000    10.500000           10.0                   1.750000                 0.419240              NaN                 NaN
   id         0.20         4 relational_pair_map     12    1.000000     8.750000            6.0                   1.458333                 0.121120         0.933156            0.973380
   id         0.20         4 relational_task_map     12    1.000000     7.083333            6.0                   1.180556                 0.057018         0.962185            0.987847
   id         0.20         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988222            1.000000
   id         0.20         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.988507            1.000000
   id         0.20         8        raw_previous     12    1.000000     5.416667            5.0                   1.805556                 0.435119              NaN                 NaN
   id         0.20         8 relational_pair_map     12    1.000000     4.416667            3.0                   1.472222                 0.122436         0.933156            0.973380
   id         0.20         8 relational_task_map     12    1.000000     3.583333            3.0                   1.194444                 0.058333         0.962185            0.987847
   id         0.20         8          static_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.988222            1.000000
   id         0.20        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20        16     pooled_goal_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.988507            1.000000
   id         0.20        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.489583              NaN                 NaN
   id         0.20        16 relational_pair_map     12    1.000000     2.750000            2.0                   1.375000                 0.124709         0.933156            0.973380
   id         0.20        16 relational_task_map     12    1.000000     2.333333            2.0                   1.166667                 0.060606         0.962185            0.987847
   id         0.20        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.988222            1.000000
   id         0.35         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986378            1.000000
   id         0.35         1        raw_previous     12    1.000000    40.250000           40.5                   1.677083                 0.401006              NaN                 NaN
   id         0.35         1 relational_pair_map     12    1.000000   152.500000          153.5                   6.354167                 0.839126         0.507718            0.492477
   id         0.35         1 relational_task_map     12    1.000000   156.666667          161.0                   6.527778                 0.842849         0.544422            0.524884
   id         0.35         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.984953            1.000000
   id         0.35         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986378            1.000000
   id         0.35         2        raw_previous     12    1.000000    20.250000           20.5                   1.687500                 0.404872              NaN                 NaN
   id         0.35         2 relational_pair_map     12    1.000000    76.500000           77.0                   6.375000                 0.839644         0.507718            0.492477
   id         0.35         2 relational_task_map     12    1.000000    78.750000           81.0                   6.562500                 0.843707         0.544422            0.524884
   id         0.35         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.984953            1.000000
   id         0.35         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986378            1.000000
   id         0.35         4        raw_previous     12    1.000000    10.333333           10.5                   1.722222                 0.416162              NaN                 NaN
   id         0.35         4 relational_pair_map     12    1.000000    38.500000           38.5                   6.416667                 0.840664         0.507718            0.492477
   id         0.35         4 relational_task_map     12    1.000000    39.750000           41.0                   6.625000                 0.845301         0.544422            0.524884
   id         0.35         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.984953            1.000000
   id         0.35         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986378            1.000000
   id         0.35         8        raw_previous     12    1.000000     5.500000            5.5                   1.833333                 0.450000              NaN                 NaN
   id         0.35         8 relational_pair_map     12    1.000000    19.416667           19.5                   6.472222                 0.842247         0.507718            0.492477
   id         0.35         8 relational_task_map     12    1.000000    20.083333           20.5                   6.694444                 0.847072         0.544422            0.524884
   id         0.35         8          static_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.984953            1.000000
   id         0.35        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35        16     pooled_goal_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986378            1.000000
